producer_lot,consumer_lot
L000469,L000561
L000469,L000569
L000469,L000570
L000469,L000579
L000469,L000581
L000469,L000582
L000469,L000593
L000469,L000594
L000469,L000608
L000469,L001582
L000469,L001583
L000470,L000450
L000470,L000451
L000470,L000468
L000470,L000503
L000470,L000504
L000471,L000487
L000471,L000495
L000471,L000511
L000471,L000523
L000471,L000538
L000471,L000556
L000471,L000568
L000471,L000580
L000471,L000590
L000471,L000609
L000471,L001591
L000472,L000465
L000472,L000496
L000472,L000510
L000472,L000521
L000472,L000535
L000472,L000554
L000472,L000567
L000472,L000578
L000472,L000589
L000472,L000605
L000473,L000455
L000473,L000459
L000473,L000505
L000473,L000516
L000473,L000529
L000473,L000546
L000473,L000549
L000473,L000562
L000473,L000572
L000473,L000584
L000473,L000598
L000473,L000600
L000473,L001586
L000474,L000475
L000474,L000494
L000474,L000525
L000474,L000559
L000474,L000592
L000474,L001596
L000475,L000494
L000475,L000497
L000475,L000525
L000475,L000559
L000475,L000592
L000475,L001596
L000476,L000465
L000476,L000466
L000476,L000510
L000476,L000521
L000476,L000535
L000476,L000536
L000476,L000554
L000476,L000567
L000476,L000578
L000476,L000589
L000476,L000605
L000476,L000606
L000476,L001589
L000477,L000478
L000477,L000490
L000477,L000524
L000477,L000557
L000477,L000591
L000477,L001593
L000478,L000488
L000478,L000490
L000478,L000524
L000478,L000539
L000478,L000557
L000478,L000591
L000478,L000610
L000478,L001592
L000478,L001593
L000479,L000457
L000479,L000498
L000479,L000515
L000479,L000548
L000479,L000583
L000479,L001585
L000480,L000457
L000480,L000489
L000480,L000515
L000480,L000548
L000480,L000583
L000480,L000616
L000480,L001585
L000481,L000457
L000481,L000482
L000481,L000515
L000481,L000548
L000481,L000583
L000481,L000616
L000481,L000666
L000481,L000699
L000481,L000728
L000481,L000752
L000481,L000758
L000481,L000810
L000481,L001585
L000482,L000457
L000482,L000480
L000482,L000515
L000482,L000548
L000482,L000583
L000482,L000616
L000482,L000660
L000482,L000666
L000482,L000699
L000482,L000728
L000482,L001585
L000483,L000494
L000483,L000501
L000483,L000525
L000483,L000559
L000483,L000592
L000483,L001596
L000484,L000493
L000484,L000494
L000484,L000525
L000484,L000558
L000484,L000559
L000484,L000592
L000484,L000613
L000484,L001596
L000485,L000467
L000485,L000490
L000485,L000524
L000485,L000537
L000485,L000557
L000485,L000591
L000485,L000607
L000485,L001590
L000485,L001593
L000486,L000494
L000486,L000502
L000486,L000525
L000486,L000559
L000486,L000592
L000486,L001596
L000487,L000000
L000487,L000064
L000487,L000128
L000487,L000192
L000487,L000257
L000487,L000321
L000487,L000385
L000488,L000490
L000488,L000524
L000489,L000457
L000489,L000458
L000489,L000515
L000489,L000548
L000489,L000583
L000489,L000616
L000489,L001581
L000489,L001585
L000490,L000000
L000490,L000001
L000490,L000064
L000490,L000065
L000490,L000128
L000490,L000129
L000490,L000192
L000490,L000193
L000490,L000257
L000490,L000258
L000490,L000321
L000490,L000322
L000490,L000385
L000490,L000386
L000491,L000494
L000491,L000525
L000492,L000494
L000492,L000525
L000493,L000494
L000493,L000525
L000494,L000000
L000494,L000001
L000494,L000064
L000494,L000065
L000494,L000128
L000494,L000129
L000494,L000192
L000494,L000193
L000494,L000257
L000494,L000258
L000494,L000321
L000494,L000322
L000494,L000385
L000494,L000386
L000495,L000452
L000495,L000487
L000495,L000511
L000495,L000523
L000495,L000528
L000495,L000538
L000495,L000556
L000495,L000568
L000495,L000580
L000495,L000590
L000495,L000595
L000495,L000609
L000495,L001584
L000495,L001591
L000496,L000453
L000496,L000465
L000496,L000510
L000496,L000521
L000496,L000535
L000496,L000544
L000496,L000554
L000496,L000567
L000496,L000578
L000496,L000589
L000496,L000596
L000496,L000605
L000497,L000456
L000497,L000494
L000497,L000525
L000497,L000547
L000497,L000559
L000497,L000592
L000497,L000599
L000497,L001596
L000498,L000457
L000498,L000499
L000498,L000515
L000498,L000548
L000498,L000583
L000498,L001585
L000499,L000457
L000499,L000500
L000499,L000515
L000499,L000548
L000499,L000583
L000499,L001585
L000500,L000457
L000500,L000463
L000500,L000515
L000500,L000533
L000500,L000548
L000500,L000576
L000500,L000583
L000500,L001585
L000501,L000491
L000501,L000494
L000501,L000525
L000501,L000540
L000501,L000559
L000501,L000592
L000501,L000611
L000501,L001594
L000501,L001596
L000502,L000492
L000502,L000494
L000502,L000525
L000502,L000541
L000502,L000559
L000502,L000592
L000502,L000612
L000502,L001595
L000502,L001596
L000503,L000001
L000503,L000065
L000503,L000129
L000503,L000193
L000503,L000258
L000503,L000322
L000503,L000386
L000504,L000001
L000504,L000065
L000504,L000129
L000504,L000193
L000504,L000258
L000504,L000322
L000504,L000386
L000505,L000001
L000505,L000065
L000505,L000129
L000505,L000193
L000505,L000258
L000505,L000322
L000505,L000386
L000506,L000503
L000506,L000504
L000507,L000505
L000508,L000503
L000509,L000511
L000510,L000001
L000510,L000065
L000510,L000129
L000510,L000193
L000510,L000258
L000510,L000322
L000510,L000386
L000511,L000001
L000511,L000065
L000511,L000129
L000511,L000193
L000511,L000258
L000511,L000322
L000511,L000386
L000512,L000002
L000512,L000066
L000512,L000130
L000512,L000194
L000512,L000259
L000512,L000323
L000512,L000387
L000513,L000002
L000513,L000066
L000513,L000130
L000513,L000194
L000513,L000259
L000513,L000323
L000513,L000387
L000514,L000512
L000514,L000513
L000514,L000517
L000514,L000526
L000514,L000527
L000514,L000530
L000515,L000002
L000515,L000003
L000515,L000066
L000515,L000067
L000515,L000130
L000515,L000131
L000515,L000194
L000515,L000195
L000515,L000259
L000515,L000260
L000515,L000323
L000515,L000324
L000515,L000387
L000515,L000388
L000516,L000002
L000516,L000066
L000516,L000130
L000516,L000194
L000516,L000259
L000516,L000323
L000516,L000387
L000517,L000512
L000517,L000513
L000518,L000516
L000519,L000512
L000520,L000523
L000521,L000002
L000521,L000066
L000521,L000130
L000521,L000194
L000521,L000259
L000521,L000323
L000521,L000387
L000522,L000468
L000522,L000512
L000522,L000513
L000522,L000526
L000522,L000527
L000523,L000002
L000523,L000066
L000523,L000130
L000523,L000194
L000523,L000259
L000523,L000323
L000523,L000387
L000524,L000002
L000524,L000003
L000524,L000066
L000524,L000067
L000524,L000130
L000524,L000131
L000524,L000194
L000524,L000195
L000524,L000259
L000524,L000260
L000524,L000323
L000524,L000324
L000524,L000387
L000524,L000388
L000525,L000002
L000525,L000003
L000525,L000066
L000525,L000067
L000525,L000130
L000525,L000131
L000525,L000194
L000525,L000195
L000525,L000259
L000525,L000260
L000525,L000323
L000525,L000324
L000525,L000387
L000525,L000388
L000526,L000003
L000526,L000067
L000526,L000131
L000526,L000195
L000526,L000260
L000526,L000324
L000526,L000388
L000527,L000003
L000527,L000067
L000527,L000131
L000527,L000195
L000527,L000260
L000527,L000324
L000527,L000388
L000528,L000534
L000528,L000538
L000528,L000553
L000528,L000556
L000528,L000566
L000528,L000568
L000529,L000003
L000529,L000067
L000529,L000131
L000529,L000195
L000529,L000260
L000529,L000324
L000529,L000388
L000530,L000526
L000530,L000527
L000531,L000529
L000532,L000526
L000533,L000515
L000533,L000548
L000533,L001585
L000534,L000538
L000535,L000003
L000535,L000067
L000535,L000131
L000535,L000195
L000535,L000260
L000535,L000324
L000535,L000388
L000536,L000535
L000536,L000554
L000536,L000567
L000537,L000524
L000537,L000557
L000538,L000003
L000538,L000067
L000538,L000131
L000538,L000195
L000538,L000260
L000538,L000324
L000538,L000388
L000539,L000524
L000539,L000557
L000540,L000525
L000540,L000559
L000541,L000525
L000541,L000559
L000542,L000004
L000542,L000068
L000542,L000132
L000542,L000196
L000542,L000261
L000542,L000325
L000542,L000389
L000543,L000004
L000543,L000068
L000543,L000132
L000543,L000196
L000543,L000261
L000543,L000325
L000543,L000389
L000544,L000554
L000544,L000567
L000544,L000578
L000544,L000589
L000545,L000542
L000545,L000543
L000545,L000550
L000545,L000560
L000545,L000561
L000545,L000563
L000545,L001582
L000545,L001583
L000546,L000549
L000546,L000551
L000546,L000562
L000546,L000564
L000546,L000572
L000546,L000574
L000546,L000584
L000546,L000586
L000546,L001586
L000546,L001587
L000547,L000559
L000547,L000592
L000547,L001596
L000548,L000004
L000548,L000005
L000548,L000068
L000548,L000069
L000548,L000132
L000548,L000133
L000548,L000196
L000548,L000261
L000548,L000262
L000548,L000325
L000548,L000326
L000548,L000389
L000548,L000390
L000549,L000004
L000549,L000068
L000549,L000132
L000549,L000196
L000549,L000261
L000549,L000325
L000549,L000389
L000550,L000542
L000550,L000543
L000551,L000549
L000552,L000542
L000553,L000556
L000554,L000004
L000554,L000068
L000554,L000132
L000554,L000196
L000554,L000261
L000554,L000325
L000554,L000389
L000555,L000468
L000555,L000542
L000555,L000543
L000555,L000560
L000555,L000561
L000555,L001582
L000555,L001583
L000556,L000004
L000556,L000068
L000556,L000132
L000556,L000196
L000556,L000261
L000556,L000325
L000556,L000389
L000557,L000004
L000557,L000005
L000557,L000068
L000557,L000069
L000557,L000132
L000557,L000133
L000557,L000196
L000557,L000261
L000557,L000262
L000557,L000325
L000557,L000326
L000557,L000389
L000557,L000390
L000558,L000559
L000558,L000592
L000558,L001596
L000559,L000004
L000559,L000005
L000559,L000068
L000559,L000069
L000559,L000132
L000559,L000133
L000559,L000196
L000559,L000261
L000559,L000262
L000559,L000325
L000559,L000326
L000559,L000389
L000559,L000390
L000560,L000005
L000560,L000069
L000560,L000133
L000560,L000262
L000560,L000326
L000560,L000390
L000561,L000005
L000561,L000069
L000561,L000133
L000561,L000262
L000561,L000326
L000561,L000390
L000562,L000005
L000562,L000069
L000562,L000133
L000562,L000262
L000562,L000326
L000562,L000390
L000563,L000560
L000563,L000561
L000563,L001582
L000563,L001583
L000564,L000562
L000565,L000560
L000566,L000568
L000566,L001591
L000567,L000005
L000567,L000069
L000567,L000133
L000567,L000197
L000567,L000262
L000567,L000326
L000567,L000390
L000568,L000005
L000568,L000069
L000568,L000133
L000568,L000262
L000568,L000326
L000568,L000390
L000569,L000006
L000569,L000070
L000569,L000134
L000569,L000198
L000569,L000263
L000569,L000327
L000569,L000391
L000570,L000006
L000570,L000070
L000570,L000134
L000570,L000198
L000570,L000263
L000570,L000327
L000570,L000391
L000571,L000569
L000571,L000570
L000571,L000573
L000571,L000581
L000571,L000582
L000571,L000585
L000572,L000006
L000572,L000070
L000572,L000134
L000572,L000198
L000572,L000263
L000572,L000327
L000572,L000391
L000573,L000569
L000573,L000570
L000574,L000572
L000575,L000569
L000576,L000583
L000576,L001585
L000577,L000580
L000578,L000006
L000578,L000070
L000578,L000134
L000578,L000198
L000578,L000263
L000578,L000327
L000578,L000391
L000579,L000468
L000579,L000569
L000579,L000570
L000579,L000581
L000579,L000582
L000580,L000006
L000580,L000070
L000580,L000134
L000580,L000198
L000580,L000263
L000580,L000327
L000580,L000391
L000581,L000007
L000581,L000071
L000581,L000135
L000581,L000199
L000581,L000264
L000581,L000328
L000581,L000392
L000582,L000007
L000582,L000071
L000582,L000135
L000582,L000199
L000582,L000264
L000582,L000328
L000582,L000392
L000583,L000007
L000583,L000008
L000583,L000071
L000583,L000072
L000583,L000135
L000583,L000136
L000583,L000199
L000583,L000200
L000583,L000264
L000583,L000265
L000583,L000328
L000583,L000329
L000583,L000392
L000583,L000393
L000584,L000007
L000584,L000071
L000584,L000135
L000584,L000199
L000584,L000264
L000584,L000328
L000584,L000392
L000585,L000581
L000585,L000582
L000586,L000584
L000587,L000581
L000588,L000590
L000589,L000007
L000589,L000071
L000589,L000135
L000589,L000199
L000589,L000264
L000589,L000328
L000589,L000392
L000590,L000007
L000590,L000071
L000590,L000135
L000590,L000199
L000590,L000264
L000590,L000328
L000590,L000392
L000591,L000007
L000591,L000008
L000591,L000071
L000591,L000072
L000591,L000135
L000591,L000136
L000591,L000199
L000591,L000200
L000591,L000264
L000591,L000265
L000591,L000328
L000591,L000329
L000591,L000392
L000591,L000393
L000592,L000007
L000592,L000008
L000592,L000071
L000592,L000072
L000592,L000135
L000592,L000136
L000592,L000199
L000592,L000200
L000592,L000264
L000592,L000265
L000592,L000328
L000592,L000329
L000592,L000392
L000592,L000393
L000593,L000008
L000593,L000072
L000593,L000136
L000593,L000200
L000593,L000265
L000593,L000329
L000593,L000393
L000594,L000008
L000594,L000072
L000594,L000136
L000594,L000200
L000594,L000265
L000594,L000329
L000594,L000393
L000595,L000604
L000595,L000609
L000595,L000622
L000595,L000639
L000595,L000657
L000595,L000661
L000596,L000605
L000596,L000623
L000596,L000658
L000596,L000672
L000597,L000593
L000597,L000594
L000597,L000601
L000597,L000614
L000597,L000615
L000597,L000618
L000598,L000600
L000598,L000602
L000598,L000617
L000598,L000619
L000598,L000653
L000598,L000655
L000598,L000667
L000598,L000669
L000599,L000592
L000599,L000641
L000599,L000680
L000600,L000008
L000600,L000072
L000600,L000136
L000600,L000200
L000600,L000265
L000600,L000329
L000600,L000393
L000601,L000593
L000601,L000594
L000602,L000600
L000603,L000593
L000604,L000609
L000605,L000008
L000605,L000072
L000605,L000136
L000605,L000200
L000605,L000265
L000605,L000329
L000605,L000393
L000606,L000605
L000606,L000623
L000606,L000658
L000607,L000591
L000607,L000640
L000608,L000468
L000608,L000593
L000608,L000594
L000608,L000614
L000608,L000615
L000608,L000624
L000609,L000008
L000609,L000072
L000609,L000136
L000609,L000200
L000609,L000265
L000609,L000329
L000609,L000393
L000610,L000591
L000610,L000640
L000611,L000592
L000611,L000641
L000612,L000592
L000612,L000641
L000613,L000592
L000613,L000641
L000613,L000680
L000614,L000009
L000614,L000073
L000614,L000137
L000614,L000201
L000614,L000266
L000614,L000330
L000614,L000394
L000615,L000009
L000615,L000073
L000615,L000137
L000615,L000201
L000615,L000266
L000615,L000330
L000615,L000394
L000616,L000009
L000616,L000010
L000616,L000073
L000616,L000074
L000616,L000137
L000616,L000138
L000616,L000201
L000616,L000202
L000616,L000266
L000616,L000267
L000616,L000330
L000616,L000331
L000616,L000394
L000616,L000395
L000617,L000009
L000617,L000073
L000617,L000137
L000617,L000201
L000617,L000266
L000617,L000330
L000617,L000394
L000618,L000614
L000618,L000615
L000619,L000617
L000620,L000614
L000621,L000616
L000621,L000666
L000622,L000639
L000623,L000009
L000623,L000073
L000623,L000137
L000623,L000201
L000623,L000266
L000623,L000330
L000623,L000394
L000624,L000597
L000624,L000614
L000624,L000615
L000624,L000650
L000624,L000651
L000624,L000652
L000624,L000663
L000624,L000664
L000624,L000681
L000624,L000682
L000624,L000684
L000624,L000697
L000624,L000698
L000624,L000709
L000624,L000710
L000624,L000712
L000624,L000726
L000624,L000727
L000624,L000739
L000624,L000740
L000624,L000742
L000624,L000755
L000624,L000756
L000625,L000608
L000625,L000614
L000625,L000615
L000625,L000650
L000625,L000651
L000625,L000659
L000625,L000663
L000625,L000664
L000625,L000681
L000625,L000682
L000625,L000694
L000625,L000697
L000625,L000698
L000625,L000709
L000625,L000710
L000625,L000721
L000625,L000726
L000625,L000727
L000625,L000739
L000625,L000740
L000625,L000751
L000625,L000755
L000625,L000756
L000626,L000639
L000626,L000642
L000626,L000661
L000626,L000675
L000626,L000695
L000626,L000706
L000626,L000722
L000626,L000736
L000626,L000753
L000626,L000767
L000627,L000623
L000627,L000643
L000627,L000658
L000627,L000672
L000627,L000693
L000627,L000705
L000627,L000718
L000627,L000735
L000627,L000750
L000627,L000764
L000628,L000598
L000628,L000617
L000628,L000653
L000628,L000667
L000628,L000685
L000628,L000687
L000628,L000700
L000628,L000713
L000628,L000729
L000628,L000743
L000628,L000745
L000628,L000759
L000629,L000630
L000629,L000641
L000629,L000680
L000629,L000708
L000629,L000738
L000629,L000772
L000630,L000641
L000630,L000644
L000630,L000680
L000630,L000708
L000630,L000738
L000630,L000772
L000631,L000606
L000631,L000623
L000631,L000658
L000631,L000672
L000631,L000673
L000631,L000693
L000631,L000705
L000631,L000718
L000631,L000719
L000631,L000735
L000631,L000750
L000631,L000764
L000631,L000765
L000632,L000633
L000632,L000640
L000632,L000677
L000632,L000707
L000632,L000737
L000632,L000769
L000633,L000610
L000633,L000640
L000633,L000676
L000633,L000677
L000633,L000707
L000633,L000723
L000633,L000737
L000633,L000768
L000633,L000769
L000634,L000616
L000634,L000645
L000634,L000666
L000634,L000699
L000634,L000728
L000634,L000758
L000635,L000641
L000635,L000648
L000635,L000680
L000635,L000708
L000635,L000738
L000635,L000772
L000636,L000613
L000636,L000641
L000636,L000680
L000636,L000696
L000636,L000708
L000636,L000738
L000636,L000754
L000636,L000772
L000637,L000607
L000637,L000640
L000637,L000674
L000637,L000677
L000637,L000707
L000637,L000720
L000637,L000737
L000637,L000766
L000637,L000769
L000638,L000641
L000638,L000649
L000638,L000680
L000638,L000708
L000638,L000738
L000638,L000772
L000639,L000009
L000639,L000073
L000639,L000137
L000639,L000201
L000639,L000266
L000639,L000330
L000639,L000394
L000640,L000009
L000640,L000010
L000640,L000073
L000640,L000074
L000640,L000137
L000640,L000138
L000640,L000201
L000640,L000202
L000640,L000266
L000640,L000267
L000640,L000330
L000640,L000331
L000640,L000394
L000640,L000395
L000641,L000009
L000641,L000010
L000641,L000073
L000641,L000074
L000641,L000137
L000641,L000138
L000641,L000201
L000641,L000202
L000641,L000266
L000641,L000267
L000641,L000330
L000641,L000331
L000641,L000394
L000641,L000395
L000642,L000595
L000642,L000639
L000642,L000661
L000642,L000665
L000642,L000675
L000642,L000695
L000642,L000706
L000642,L000711
L000642,L000722
L000642,L000736
L000642,L000753
L000642,L000757
L000642,L000767
L000643,L000596
L000643,L000623
L000643,L000658
L000643,L000672
L000643,L000683
L000643,L000693
L000643,L000705
L000643,L000718
L000643,L000735
L000643,L000741
L000643,L000750
L000643,L000764
L000644,L000599
L000644,L000641
L000644,L000680
L000644,L000686
L000644,L000708
L000644,L000738
L000644,L000744
L000644,L000772
L000645,L000616
L000645,L000646
L000645,L000666
L000645,L000699
L000645,L000728
L000645,L000758
L000646,L000616
L000646,L000647
L000646,L000666
L000646,L000699
L000646,L000728
L000646,L000758
L000647,L000616
L000647,L000621
L000647,L000666
L000647,L000691
L000647,L000699
L000647,L000728
L000647,L000733
L000647,L000758
L000648,L000611
L000648,L000641
L000648,L000678
L000648,L000680
L000648,L000708
L000648,L000724
L000648,L000738
L000648,L000770
L000648,L000772
L000649,L000612
L000649,L000641
L000649,L000679
L000649,L000680
L000649,L000708
L000649,L000725
L000649,L000738
L000649,L000771
L000649,L000772
L000650,L000010
L000650,L000074
L000650,L000138
L000650,L000202
L000650,L000267
L000650,L000331
L000650,L000395
L000651,L000010
L000651,L000074
L000651,L000138
L000651,L000202
L000651,L000267
L000651,L000331
L000651,L000395
L000652,L000650
L000652,L000651
L000652,L000654
L000652,L000663
L000652,L000664
L000652,L000668
L000653,L000010
L000653,L000074
L000653,L000138
L000653,L000202
L000653,L000267
L000653,L000331
L000653,L000395
L000654,L000650
L000654,L000651
L000655,L000653
L000656,L000650
L000657,L000661
L000658,L000010
L000658,L000074
L000658,L000138
L000658,L000202
L000658,L000267
L000658,L000331
L000658,L000395
L000659,L000624
L000659,L000650
L000659,L000651
L000659,L000663
L000659,L000664
L000660,L000616
L000660,L000662
L000660,L000666
L000660,L000699
L000660,L000728
L000660,L000758
L000660,L000810
L000661,L000010
L000661,L000074
L000661,L000138
L000661,L000202
L000661,L000267
L000661,L000331
L000661,L000395
L000662,L000616
L000662,L000666
L000662,L000699
L000662,L000728
L000662,L000758
L000662,L000810
L000662,L001581
L000662,L001598
L000663,L000011
L000663,L000075
L000663,L000139
L000663,L000203
L000663,L000268
L000663,L000332
L000663,L000396
L000664,L000011
L000664,L000075
L000664,L000139
L000664,L000203
L000664,L000268
L000664,L000332
L000664,L000396
L000665,L000671
L000665,L000675
L000665,L000692
L000665,L000695
L000665,L000704
L000665,L000706
L000666,L000011
L000666,L000012
L000666,L000075
L000666,L000076
L000666,L000139
L000666,L000140
L000666,L000203
L000666,L000204
L000666,L000268
L000666,L000269
L000666,L000332
L000666,L000333
L000666,L000396
L000666,L000397
L000667,L000011
L000667,L000075
L000667,L000139
L000667,L000203
L000667,L000268
L000667,L000332
L000667,L000396
L000668,L000663
L000668,L000664
L000669,L000667
L000670,L000663
L000671,L000675
L000672,L000011
L000672,L000075
L000672,L000139
L000672,L000203
L000672,L000268
L000672,L000332
L000672,L000396
L000673,L000672
L000673,L000693
L000673,L000705
L000674,L000677
L000674,L000707
L000675,L000011
L000675,L000075
L000675,L000139
L000675,L000203
L000675,L000268
L000675,L000332
L000675,L000396
L000676,L000677
L000676,L000707
L000677,L000011
L000677,L000012
L000677,L000075
L000677,L000076
L000677,L000139
L000677,L000140
L000677,L000203
L000677,L000204
L000677,L000268
L000677,L000269
L000677,L000332
L000677,L000333
L000677,L000396
L000677,L000397
L000678,L000680
L000678,L000708
L000679,L000680
L000679,L000708
L000680,L000011
L000680,L000012
L000680,L000075
L000680,L000076
L000680,L000139
L000680,L000140
L000680,L000203
L000680,L000204
L000680,L000268
L000680,L000269
L000680,L000332
L000680,L000333
L000680,L000396
L000680,L000397
L000681,L000012
L000681,L000076
L000681,L000140
L000681,L000204
L000681,L000269
L000681,L000333
L000681,L000397
L000682,L000012
L000682,L000076
L000682,L000140
L000682,L000204
L000682,L000269
L000682,L000333
L000682,L000397
L000683,L000693
L000683,L000705
L000683,L000718
L000683,L000735
L000684,L000681
L000684,L000682
L000684,L000688
L000684,L000697
L000684,L000698
L000684,L000701
L000685,L000687
L000685,L000689
L000685,L000700
L000685,L000702
L000685,L000713
L000685,L000715
L000685,L000729
L000685,L000731
L000686,L000680
L000686,L000708
L000686,L000738
L000687,L000012
L000687,L000076
L000687,L000140
L000687,L000204
L000687,L000269
L000687,L000333
L000687,L000397
L000688,L000681
L000688,L000682
L000689,L000687
L000690,L000681
L000691,L000666
L000691,L000699
L000692,L000695
L000693,L000012
L000693,L000076
L000693,L000140
L000693,L000204
L000693,L000269
L000693,L000333
L000693,L000397
L000694,L000624
L000694,L000681
L000694,L000682
L000694,L000697
L000694,L000698
L000695,L000012
L000695,L000076
L000695,L000140
L000695,L000204
L000695,L000269
L000695,L000333
L000695,L000397
L000696,L000680
L000696,L000708
L000696,L000738
L000697,L000013
L000697,L000077
L000697,L000141
L000697,L000205
L000697,L000270
L000697,L000334
L000697,L000398
L000698,L000013
L000698,L000077
L000698,L000141
L000698,L000205
L000698,L000270
L000698,L000334
L000698,L000398
L000699,L000013
L000699,L000014
L000699,L000077
L000699,L000078
L000699,L000141
L000699,L000142
L000699,L000205
L000699,L000206
L000699,L000270
L000699,L000271
L000699,L000334
L000699,L000335
L000699,L000398
L000699,L000399
L000700,L000013
L000700,L000077
L000700,L000141
L000700,L000205
L000700,L000270
L000700,L000334
L000700,L000398
L000701,L000697
L000701,L000698
L000702,L000700
L000703,L000697
L000704,L000706
L000705,L000013
L000705,L000077
L000705,L000141
L000705,L000205
L000705,L000270
L000705,L000334
L000705,L000398
L000706,L000013
L000706,L000077
L000706,L000141
L000706,L000205
L000706,L000270
L000706,L000334
L000706,L000398
L000707,L000013
L000707,L000014
L000707,L000077
L000707,L000078
L000707,L000141
L000707,L000142
L000707,L000205
L000707,L000206
L000707,L000270
L000707,L000271
L000707,L000334
L000707,L000335
L000707,L000398
L000707,L000399
L000708,L000013
L000708,L000014
L000708,L000077
L000708,L000078
L000708,L000141
L000708,L000142
L000708,L000205
L000708,L000206
L000708,L000270
L000708,L000271
L000708,L000334
L000708,L000335
L000708,L000398
L000708,L000399
L000709,L000014
L000709,L000078
L000709,L000142
L000709,L000206
L000709,L000271
L000709,L000335
L000709,L000399
L000710,L000014
L000710,L000078
L000710,L000142
L000710,L000206
L000710,L000271
L000710,L000335
L000710,L000399
L000711,L000717
L000711,L000722
L000711,L000734
L000711,L000736
L000711,L000749
L000711,L000753
L000712,L000709
L000712,L000710
L000712,L000714
L000712,L000726
L000712,L000727
L000712,L000730
L000713,L000014
L000713,L000078
L000713,L000142
L000713,L000206
L000713,L000271
L000713,L000335
L000713,L000399
L000714,L000709
L000714,L000710
L000715,L000713
L000716,L000709
L000717,L000722
L000718,L000014
L000718,L000078
L000718,L000142
L000718,L000206
L000718,L000271
L000718,L000335
L000718,L000399
L000719,L000718
L000719,L000735
L000719,L000750
L000720,L000707
L000720,L000737
L000721,L000624
L000721,L000709
L000721,L000710
L000721,L000726
L000721,L000727
L000722,L000014
L000722,L000078
L000722,L000142
L000722,L000206
L000722,L000271
L000722,L000335
L000722,L000399
L000723,L000707
L000723,L000737
L000724,L000708
L000724,L000738
L000725,L000708
L000725,L000738
L000726,L000015
L000726,L000079
L000726,L000143
L000726,L000207
L000726,L000272
L000726,L000336
L000726,L000400
L000727,L000015
L000727,L000079
L000727,L000143
L000727,L000207
L000727,L000272
L000727,L000336
L000727,L000400
L000728,L000015
L000728,L000016
L000728,L000079
L000728,L000080
L000728,L000143
L000728,L000144
L000728,L000207
L000728,L000208
L000728,L000272
L000728,L000273
L000728,L000336
L000728,L000337
L000728,L000400
L000728,L000401
L000729,L000015
L000729,L000079
L000729,L000143
L000729,L000207
L000729,L000272
L000729,L000336
L000729,L000400
L000730,L000726
L000730,L000727
L000731,L000729
L000732,L000726
L000733,L000728
L000733,L000758
L000734,L000736
L000735,L000015
L000735,L000079
L000735,L000143
L000735,L000207
L000735,L000272
L000735,L000336
L000735,L000400
L000736,L000015
L000736,L000079
L000736,L000143
L000736,L000207
L000736,L000272
L000736,L000336
L000736,L000400
L000737,L000015
L000737,L000016
L000737,L000079
L000737,L000080
L000737,L000143
L000737,L000144
L000737,L000207
L000737,L000208
L000737,L000272
L000737,L000273
L000737,L000336
L000737,L000337
L000737,L000400
L000737,L000401
L000738,L000015
L000738,L000016
L000738,L000079
L000738,L000080
L000738,L000143
L000738,L000144
L000738,L000207
L000738,L000208
L000738,L000272
L000738,L000273
